proLC3B,ProLC3B_S1,ProLC3B_S2,ProLC3B_S3,,LC3B II,LC3BII_S1,LC3BII_S2,LC3BII_S3,,LC3BII_p62,LC3BII_p62_S1,LC3BII_p62_S2,LC3BII_p62_S3
209000,0.3971824,0.3817728,0.3667909,,209000,0.3196925,0.2308464,0.2974074,,209000,0.1589204,0.3944354,0.204781
210000,0.4248737,0.3903137,0.3525946,,210000,0.3125999,0.2424413,0.3049202,,210000,0.1665406,0.3843072,0.2005184
211000,0.4303667,0.358415,0.3578454,,211000,0.3064893,0.2870506,0.2928941,,211000,0.171795,0.3601527,0.2263373
212000,0.4286253,0.3652985,0.372242,,212000,0.3013871,0.2883074,0.2981195,,212000,0.1719549,0.3652588,0.1944977
213000,0.4163944,0.3591077,0.3809006,,213000,0.3054754,0.2637314,0.2632156,,213000,0.1752327,0.383928,0.2083123
214000,0.4214635,0.3689096,0.3675003,,214000,0.3189749,0.2481565,0.2716416,,214000,0.1640071,0.3581873,0.2146526
215000,0.4102145,0.3727008,0.3751694,,215000,0.3100741,0.2760315,0.2578662,,215000,0.163763,0.3731596,0.2066275
216000,0.4080768,0.3577273,0.3738819,,216000,0.3171207,0.2784321,0.256061,,216000,0.1708055,0.3510284,0.2071241
217000,0.4085973,0.3735609,0.3713917,,217000,0.3093318,0.2508144,0.2749801,,217000,0.1695057,0.3555968,0.2191475
218000,0.4065476,0.3587552,0.388435,,218000,0.3088987,0.2716216,0.256057,,218000,0.1617973,0.3614872,0.2022688
219000,0.4074031,0.382193,0.3891457,,219000,0.3025182,0.2896993,0.2552935,,219000,0.1694715,0.3581595,0.1861867
220000,0.4082766,0.3795545,0.3615496,,220000,0.3187207,0.2865156,0.2639193,,220000,0.1736859,0.3628294,0.1956356
221000,0.4139939,0.391197,0.3893048,,221000,0.3011391,0.2785619,0.2641976,,221000,0.1682015,0.3764901,0.1900586
222000,0.4059238,0.3713295,0.386788,,222000,0.3077443,0.2761674,0.2727428,,222000,0.1707877,0.3669739,0.1925159
223000,0.4004104,0.3910835,0.4109757,,223000,0.3080982,0.2702276,0.2575724,,223000,0.1655204,0.3729991,0.1973592
224000,0.4307488,0.3826195,0.3816639,,224000,0.3092864,0.3012382,0.2751523,,224000,0.1599583,0.3369689,0.1875284
225000,0.4240899,0.3955204,0.4027586,,225000,0.3091714,0.2910718,0.2675322,,225000,0.1645754,0.3497319,0.1781581
226000,0.4349592,0.3981057,0.3915538,,226000,0.3111891,0.2886659,0.2490219,,226000,0.1658194,0.3526433,0.1867323
227000,0.4235978,0.3839855,0.3998228,,227000,0.31474,0.2794597,0.2702076,,227000,0.1619043,0.3437634,0.1795896
228000,0.4165414,0.3901758,0.4225622,,228000,0.3125824,0.2799876,0.2771296,,228000,0.1572864,0.3553275,0.1834473
229000,0.4150204,0.3866742,0.3919267,,229000,0.3315749,0.3162866,0.2812095,,229000,0.1689029,0.3370944,0.1883007
230000,0.424644,0.3972688,0.4244362,,230000,0.3323792,0.2912631,0.284401,,230000,0.1565219,0.3409396,0.1834111
231000,0.4156423,0.3741305,0.4077344,,231000,0.3621093,0.3027326,0.2856845,,231000,0.1641208,0.3307563,0.1803051
232000,0.4229102,0.3948678,0.412057,,232000,0.3654337,0.2808261,0.2666013,,232000,0.1675061,0.3488054,0.1864693
233000,0.429134,0.4039814,0.4080597,,233000,0.3491813,0.2681996,0.2730627,,233000,0.1699979,0.3496661,0.1948466
234000,0.4198594,0.3905444,0.3966734,,234000,0.3364144,0.262854,0.3023354,,234000,0.1784545,0.3723319,0.181088
235000,0.4209299,0.3929299,0.4291763,,235000,0.3470449,0.2768077,0.3039289,,235000,0.1635762,0.3704077,0.1858211
236000,0.3913653,0.4066181,0.3910953,,236000,0.3211498,0.2649431,0.2833067,,236000,0.1701871,0.3602489,0.1708633
237000,0.4168069,0.3924874,0.3972222,,237000,0.3316988,0.2622548,0.2976192,,237000,0.1728093,0.3813655,0.1873935
238000,0.4377226,0.4080504,0.4116173,,238000,0.3334577,0.2422102,0.2934377,,238000,0.1646122,0.3672061,0.184709
239000,0.4278326,0.4192612,0.4291149,,239000,0.3289609,0.2503249,0.3028238,,239000,0.170831,0.3567376,0.2009225
240000,0.4142203,0.4115132,0.3777343,,240000,0.3491637,0.2399969,0.2975965,,240000,0.1683811,0.3547375,0.190928
241000,0.3991465,0.4095551,0.3972897,,241000,0.3452638,0.2429525,0.3130616,,241000,0.1653322,0.3455006,0.1887775
242000,0.4005458,0.4143257,0.3592595,,242000,0.3740702,0.2476377,0.3172097,,242000,0.1656957,0.3391293,0.1893227
243000,0.4088126,0.406555,0.3530586,,243000,0.3323845,0.2286536,0.3003782,,243000,0.1611697,0.3662763,0.1970953
244000,0.4081256,0.3884994,0.3853804,,244000,0.3280539,0.2488667,0.3022186,,244000,0.156881,0.3536316,0.1896795
245000,0.409889,0.3932635,0.3395483,,245000,0.3324918,0.2471909,0.3013489,,245000,0.1574364,0.3723161,0.1921821
246000,0.4044365,0.4024342,0.3812582,,246000,0.3313116,0.2466877,0.307063,,246000,0.1677438,0.3785984,0.177784
247000,0.3972001,0.4222258,0.4142269,,247000,0.3133838,0.2359629,0.3136056,,247000,0.1662772,0.3716611,0.1871612
248000,0.4042031,0.3938882,0.3937875,,248000,0.3346034,0.2461628,0.2973402,,248000,0.1598816,0.364876,0.1864828
249000,0.390085,0.3968914,0.4005333,,249000,0.3332462,0.272148,0.3057177,,249000,0.1707686,0.3571211,0.1902276
250000,0.3850198,0.4103963,0.3792117,,250000,0.3089275,0.2693938,0.3084898,,250000,0.1638517,0.3654543,0.1958714
251000,0.400845,0.3715827,0.3730378,,251000,0.3055987,0.2564054,0.3439414,,251000,0.1669253,0.3549213,0.1854458
252000,0.4034964,0.3969479,0.3637736,,252000,0.3205498,0.2535208,0.3034708,,252000,0.1661751,0.3685518,0.1995236
253000,0.4003216,0.4227048,0.3647651,,253000,0.3272271,0.2796298,0.3205918,,253000,0.1663339,0.3243879,0.2005607
254000,0.3978446,0.3609992,0.3542584,,254000,0.3442698,0.2645245,0.3030814,,254000,0.1659175,0.365639,0.2224105
255000,0.391931,0.382167,0.3761478,,255000,0.3472476,0.2694169,0.3129162,,255000,0.1810047,0.3520213,0.2216689
256000,0.399469,0.3895562,0.3859792,,256000,0.3410297,0.2438907,0.3178116,,256000,0.1556724,0.3790011,0.2310312
257000,0.4245428,0.3880724,0.4201151,,257000,0.3476859,0.2516955,0.3096402,,257000,0.1719704,0.3819164,0.232756
258000,0.3910278,0.4018946,0.3932777,,258000,0.3485296,0.2494349,0.2902728,,258000,0.1513833,0.402356,0.2355927
259000,0.3912924,0.4104217,0.3979527,,259000,0.3448136,0.2605311,0.2913952,,259000,0.1476764,0.375701,0.2473551
260000,0.4008466,0.4156922,0.4142345,,260000,0.3332534,0.2586145,0.300038,,260000,0.142793,0.3682272,0.2554171
261000,0.398374,0.4235839,0.4169113,,261000,0.3140827,0.2454786,0.2863326,,261000,0.1503583,0.3889682,0.2550088
262000,0.4058648,0.4114485,0.401766,,262000,0.2987761,0.2516126,0.2986864,,262000,0.1453464,0.3879679,0.233332
263000,0.4084456,0.4244181,0.3984019,,263000,0.3169117,0.2362768,0.2927531,,263000,0.1650641,0.3802108,0.2482878
264000,0.4052683,0.4230576,0.4245097,,264000,0.3100075,0.2424203,0.3024541,,264000,0.1622697,0.3851468,0.2394862
265000,0.4070977,0.4393806,0.3904652,,265000,0.3008032,0.2375413,0.2936006,,265000,0.176372,0.3734464,0.2468741
266000,0.4129001,0.418301,0.389652,,266000,0.3413315,0.227506,0.3076985,,266000,0.1707343,0.3542183,0.2613214
267000,0.4036027,0.4348269,0.3924012,,267000,0.3154363,0.2442486,0.3123093,,267000,0.178151,0.3613373,0.2632809
268000,0.3911187,0.4196606,0.3858922,,268000,0.3269958,0.2574221,0.3018814,,268000,0.1680902,0.3671239,0.2489011
269000,0.4072612,0.4234495,0.393287,,269000,0.3213206,0.2522372,0.3229205,,269000,0.1749592,0.3741611,0.2708491
270000,0.4068306,0.4356396,0.3669689,,270000,0.3281934,0.2719998,0.3026478,,270000,0.1607107,0.3592072,0.2633902
271000,0.3873183,0.4221542,0.3887965,,271000,0.320426,0.2630718,0.3057903,,271000,0.1817394,0.3607808,0.2802188
272000,0.4032052,0.4317784,0.4130822,,272000,0.3532373,0.2536908,0.3252233,,272000,0.1743768,0.3624903,0.2737948
273000,0.385577,0.4166154,0.4061749,,273000,0.3402998,0.2459209,0.3092555,,273000,0.1716812,0.3645906,0.2560652
274000,0.4075175,0.4169111,0.3856764,,274000,0.3286438,0.2475571,0.3067955,,274000,0.1651053,0.3668974,0.2491959
275000,0.4028941,0.4421259,0.3943828,,275000,0.3422734,0.2575748,0.3185416,,275000,0.1656201,0.3808543,0.2466807
276000,0.4089579,0.4399951,0.3926117,,276000,0.3329865,0.2467714,0.3126835,,276000,0.1677661,0.3876489,0.2476653
277000,0.3977216,0.4458193,0.3997436,,277000,0.3352383,0.2590939,0.3063247,,277000,0.1694224,0.3997054,0.2373458
278000,0.3885958,0.4365498,0.3666494,,278000,0.3225945,0.2577688,0.3194363,,278000,0.1609633,0.3758356,0.2290415
279000,0.3887842,0.4446845,0.3825226,,279000,0.3114137,0.2509091,0.3066788,,279000,0.1584532,0.3780562,0.224402
280000,0.3916195,0.4378444,0.3880222,,280000,0.3179286,0.2465213,0.2999212,,280000,0.1578461,0.3899967,0.206137
281000,0.4088887,0.4368708,0.4061261,,281000,0.3148806,0.2459145,0.3094382,,281000,0.1708416,0.368729,0.2062865
282000,0.4089581,0.4269853,0.386372,,282000,0.3161681,0.2361251,0.3220406,,282000,0.1648142,0.3755315,0.2157879
283000,0.3978109,0.428207,0.3962663,,283000,0.3158251,0.2575541,0.3287945,,283000,0.1590042,0.3613145,0.2356339
284000,0.412735,0.4093843,0.3978246,,284000,0.2976978,0.2515463,0.3137254,,284000,0.1706744,0.3661876,0.2149911
285000,0.4039258,0.4306999,0.3952914,,285000,0.3398207,0.2421336,0.3307425,,285000,0.1741491,0.383589,0.219644
286000,0.40937,0.4325386,0.3982711,,286000,0.3323441,0.2334957,0.3378888,,286000,0.1747693,0.3982803,0.2344529
287000,0.3837289,0.441467,0.4076768,,287000,0.3374978,0.2547028,0.3202054,,287000,0.1750537,0.3691403,0.2236977
288000,0.3986725,0.4229351,0.3932593,,288000,0.3379157,0.241327,0.3245156,,288000,0.1863598,0.3792571,0.2177703
289000,0.3863406,0.4330216,0.4032496,,289000,0.339845,0.249329,0.3283354,,289000,0.1988739,0.3835605,0.2119384
290000,0.3999543,0.4250563,0.3954209,,290000,0.343446,0.2366691,0.3247043,,290000,0.1939585,0.37409,0.2255969
291000,0.3919885,0.4301016,0.4029551,,291000,0.3312326,0.2527267,0.3345162,,291000,0.2207347,0.395589,0.230623
292000,0.387928,0.4240575,0.3992461,,292000,0.3561603,0.2515958,0.3269033,,292000,0.2098108,0.3836793,0.2419369
293000,0.3965489,0.4301905,0.4261022,,293000,0.3298081,0.2494106,0.3098819,,293000,0.2130208,0.3907873,0.2382698
294000,0.4074094,0.4408206,0.4083574,,294000,0.3051386,0.2299473,0.312262,,294000,0.2156344,0.4039451,0.2344254
295000,0.4067534,0.4352973,0.4085053,,295000,0.3120755,0.2199739,0.3110436,,295000,0.2426009,0.3995982,0.2355037
296000,0.4069918,0.4249687,0.3948223,,296000,0.3234528,0.2535841,0.3071253,,296000,0.2057177,0.4017011,0.2385021
297000,0.4014793,0.4238367,0.4122706,,297000,0.328778,0.2550184,0.2937972,,297000,0.2306883,0.3995532,0.2316475
298000,0.4010739,0.4127002,0.406358,,298000,0.3274017,0.2601145,0.3038764,,298000,0.2043066,0.3768938,0.2217079
299000,0.3805438,0.4198489,0.4129788,,299000,0.3430307,0.2555653,0.2992223,,299000,0.2171862,0.3817674,0.2203779
300000,0.3924702,0.4351453,0.427295,,300000,0.3292778,0.2612596,0.2971458,,300000,0.2025529,0.3822712,0.2322065
301000,0.4245858,0.426981,0.4066972,,301000,0.3236741,0.2432659,0.2974073,,301000,0.2088838,0.3994153,0.2154395
302000,0.4552602,0.4207648,0.3997357,,302000,0.3378993,0.2182046,0.3201964,,302000,0.1876166,0.4003546,0.2098244
303000,0.4321181,0.4298452,0.4166281,,303000,0.3196481,0.2622028,0.3086807,,303000,0.1975222,0.3920997,0.2153042
304000,0.4406741,0.4353763,0.4096949,,304000,0.3143795,0.2201658,0.305201,,304000,0.2027999,0.3538496,0.2087335
305000,0.4410304,0.4262577,0.4346281,,305000,0.3187959,0.2301292,0.323603,,305000,0.1969191,0.365436,0.205226
306000,0.4523588,0.4247482,0.404778,,306000,0.3165337,0.2544909,0.3261391,,306000,0.1949841,0.3415629,0.2046752
307000,0.4345292,0.4170015,0.3934506,,307000,0.3007515,0.2376094,0.3040765,,307000,0.1889638,0.4019563,0.2011513
308000,0.3999306,0.4415022,0.379151,,308000,0.3053214,0.260399,0.3122386,,308000,0.1930764,0.383168,0.2034356
309000,0.4212967,0.4319054,0.3982778,,309000,0.3217124,0.2702799,0.3010962,,309000,0.2013603,0.3712469,0.1981882
310000,0.4457426,0.427397,0.4067463,,310000,0.3154812,0.2669345,0.3049992,,310000,0.1894538,0.3904167,0.1946522
311000,0.4313656,0.4219363,0.3911574,,311000,0.3270563,0.259171,0.308874,,311000,0.1967721,0.370504,0.2023868
312000,0.4146658,0.4203694,0.4206881,,312000,0.3192421,0.2535086,0.3018388,,312000,0.1916728,0.3914924,0.2118746
313000,0.4112491,0.4078299,0.4130161,,313000,0.3250679,0.2658463,0.3007258,,313000,0.190475,0.4071213,0.2108897
314000,0.4131948,0.4373447,0.3727984,,314000,0.3237962,0.2545941,0.3074233,,314000,0.220361,0.392112,0.2081634
315000,0.4288036,0.4343284,0.3659642,,315000,0.3247591,0.2648118,0.3226206,,315000,0.2096485,0.4022412,0.2047167
316000,0.424329,0.4335971,0.3942873,,316000,0.3293614,0.268838,0.310486,,316000,0.1848097,0.3996402,0.196678
317000,0.4270206,0.4346795,0.3882183,,317000,0.3355712,0.2732951,0.2952004,,317000,0.1869685,0.3846401,0.1954164
318000,0.4249719,0.4246761,0.3643421,,318000,0.3305437,0.2690839,0.2869982,,318000,0.2203674,0.356905,0.1881341
319000,0.4109236,0.4358796,0.3639508,,319000,0.336918,0.268127,0.2957421,,319000,0.226857,0.390711,0.2127244
320000,0.4122946,0.4417126,0.3849022,,320000,0.3509177,0.2621968,0.3054872,,320000,0.2140762,0.3812501,0.1903184
321000,0.3990326,0.4274549,0.3682485,,321000,0.3313,0.2745062,0.3089561,,321000,0.2148525,0.382577,0.1981504
322000,0.3936661,0.417787,0.3677964,,322000,0.3306086,0.2815976,0.3114805,,322000,0.1962142,0.3871862,0.189327
323000,0.4163742,0.4231881,0.3629291,,323000,0.3273251,0.2839649,0.3065957,,323000,0.2215943,0.3934256,0.199302
324000,0.416326,0.4399161,0.3868611,,324000,0.3562148,0.2660278,0.3026758,,324000,0.2065844,0.3883504,0.2076131
325000,0.4123004,0.4144794,0.4278408,,325000,0.3388006,0.2734071,0.3065874,,325000,0.199149,0.3878846,0.2372554
326000,0.4018404,0.4392411,0.4183731,,326000,0.3067707,0.2712845,0.3024416,,326000,0.1898673,0.3865166,0.2110888
327000,0.4100727,0.422208,0.4250006,,327000,0.3240197,0.2572901,0.3136717,,327000,0.1905579,0.3850221,0.2090598
328000,0.4131209,0.4211739,0.400948,,328000,0.3390443,0.2808683,0.3029349,,328000,0.1600594,0.3941382,0.1987695
329000,0.3942187,0.4207161,0.440764,,329000,0.3389772,0.2620643,0.3145623,,329000,0.1971954,0.4007024,0.1974828
330000,0.3849488,0.4294584,0.4627978,,330000,0.34207,0.2676746,0.3058086,,330000,0.2042256,0.3954029,0.2037648
331000,0.3856422,0.414493,0.397486,,331000,0.3416795,0.2545407,0.3054406,,331000,0.1951728,0.397811,0.2259421
332000,0.379307,0.4221181,0.4140383,,332000,0.3309692,0.2494779,0.292967,,332000,0.196412,0.3847905,0.2340811
333000,0.4153065,0.4330912,0.4280963,,333000,0.3338077,0.2494686,0.3347006,,333000,0.2009539,0.3904474,0.2291674
334000,0.4010022,0.4333592,0.4138541,,334000,0.3179172,0.2461687,0.3032173,,334000,0.1780169,0.3880583,0.2253718
335000,0.3766336,0.4250209,0.4014576,,335000,0.3143843,0.2611952,0.3065409,,335000,0.1935509,0.4028895,0.2358273
336000,0.3944267,0.4405873,0.3977465,,336000,0.3237413,0.2485081,0.3183997,,336000,0.1895624,0.3877519,0.2145935
337000,0.4218389,0.4477995,0.4172612,,337000,0.3127948,0.2396567,0.2985736,,337000,0.2037355,0.3938426,0.2184237
338000,0.3931298,0.416964,0.3928888,,338000,0.3128626,0.2532158,0.2960138,,338000,0.177937,0.3862239,0.2366362
339000,0.4102722,0.413223,0.3991971,,339000,0.3098675,0.2446581,0.3013107,,339000,0.1777296,0.389292,0.247938
340000,0.4251042,0.4262108,0.3953305,,340000,0.326973,0.2446654,0.291926,,340000,0.1740635,0.40185,0.2365247
341000,0.4291788,0.4250503,0.4077241,,341000,0.3118396,0.2459807,0.3142059,,341000,0.2017618,0.3923842,0.2250147
342000,0.460993,0.4529121,0.4031292,,342000,0.3256055,0.2614797,0.3096469,,342000,0.2017045,0.4032914,0.2538694
343000,0.4063402,0.4452882,0.3892644,,343000,0.3313616,0.2778216,0.3146056,,343000,0.1998428,0.3900308,0.2104873
344000,0.4733614,0.4394816,0.4104614,,344000,0.3250948,0.25013,0.3119282,,344000,0.1985349,0.402059,0.2278108
345000,0.4773816,0.4593444,0.4141613,,345000,0.3136385,0.2492191,0.3189378,,345000,0.1916835,0.3879067,0.2149364
346000,0.4212219,0.4313306,0.3912822,,346000,0.3011481,0.2604456,0.3059532,,346000,0.2033306,0.3884091,0.2294411
347000,0.4300105,0.4381769,0.3960088,,347000,0.2899622,0.2586686,0.318281,,347000,0.1799472,0.3926498,0.214411
348000,0.4350926,0.4521585,0.420381,,348000,0.3073187,0.2520711,0.3016487,,348000,0.1872627,0.3829324,0.2046616
349000,0.4277149,0.4374228,0.4169205,,349000,0.3017325,0.2352171,0.2902347,,349000,0.1827093,0.4099423,0.1998702
350000,0.4088356,0.4469762,0.4342267,,350000,0.3121458,0.2356622,0.2977145,,350000,0.1691679,0.3981067,0.1933002
351000,0.3995551,0.4409121,0.3976462,,351000,0.309298,0.2385441,0.3011311,,351000,0.187086,0.3776945,0.2037477
352000,0.4387234,0.4351139,0.4079323,,352000,0.3160827,0.2423732,0.3109713,,352000,0.1693167,0.3973419,0.2070462
353000,0.4408101,0.4378927,0.390063,,353000,0.3015788,0.2420685,0.3034052,,353000,0.2008867,0.3930824,0.2082036
354000,0.4300156,0.4404743,0.3834518,,354000,0.2940382,0.2575209,0.3031688,,354000,0.2007235,0.3885898,0.2143253
355000,0.4413311,0.4396976,0.3821049,,355000,0.3054946,0.2867332,0.3022504,,355000,0.2054577,0.4025982,0.2110627
356000,0.4400203,0.4566513,0.3819316,,356000,0.3321817,0.2599173,0.3088235,,356000,0.1977428,0.3878235,0.210455
357000,0.4497601,0.4282926,0.36502,,357000,0.3214525,0.2620256,0.2995476,,357000,0.177832,0.3562019,0.2200972
358000,0.4645877,0.4425993,0.3724481,,358000,0.3132073,0.2575233,0.2953329,,358000,0.1979022,0.3673955,0.1978374
359000,0.4559211,0.4321153,0.3805445,,359000,0.31084,0.2428627,0.2914028,,359000,0.1867095,0.3874629,0.2005745
360000,0.4702058,0.4485941,0.39201,,360000,0.3038036,0.2519749,0.3025232,,360000,0.1834518,0.3890186,0.2027968
361000,0.4525905,0.4436125,0.3801423,,361000,0.3195502,0.2610838,0.308715,,361000,0.1936507,0.3780726,0.2054142
362000,0.4669872,0.4460752,0.3751103,,362000,0.315826,0.2532755,0.2952414,,362000,0.2012188,0.3665682,0.216067
363000,0.4640961,0.4352145,0.37513,,363000,0.3027927,0.2596563,0.3002005,,363000,0.1779999,0.3316203,0.2050024
364000,0.4700889,0.4440859,0.3818785,,364000,0.3186812,0.2773608,0.3074073,,364000,0.1711876,0.3524747,0.2123282
365000,0.4223231,0.4455158,0.3961085,,365000,0.3053145,0.2784216,0.2903027,,365000,0.1856965,0.3390984,0.2197219
366000,0.4308449,0.4387776,0.4165698,,366000,0.2893724,0.2813238,0.2968573,,366000,0.1828291,0.3196313,0.2167849
367000,0.4454934,0.4436967,0.396672,,367000,0.2972335,0.2853647,0.3009382,,367000,0.1859263,0.319621,0.2127936
368000,0.4354096,0.4269027,0.4055478,,368000,0.3186861,0.2754311,0.311745,,368000,0.1854976,0.3202059,0.220883
369000,0.4391989,0.4376206,0.3562859,,369000,0.3097239,0.2685843,0.2918542,,369000,0.1841752,0.3639231,0.2190698
370000,0.4253643,0.4267933,0.3521574,,370000,0.3050589,0.281244,0.2942008,,370000,0.1767305,0.3590678,0.2271438
371000,0.45507,0.4359953,0.3917069,,371000,0.3003864,0.2734756,0.2760252,,371000,0.1701249,0.3933081,0.2031868
372000,0.4640194,0.4311511,0.3934198,,372000,0.3067856,0.276104,0.2918417,,372000,0.1616917,0.3609694,0.2081723
373000,0.4400465,0.4438317,0.3966229,,373000,0.3324853,0.2696026,0.3034163,,373000,0.185645,0.3350368,0.2147493
374000,0.4574116,0.4285907,0.3753451,,374000,0.3119987,0.283437,0.3003884,,374000,0.1769207,0.3663258,0.1957524
375000,0.4747426,0.4303199,0.3893418,,375000,0.2986569,0.259432,0.3086935,,375000,0.1698122,0.3541823,0.2213588
376000,0.4835677,0.4459159,0.3754064,,376000,0.3058161,0.2413243,0.3063996,,376000,0.1771408,0.3444116,0.1921532
377000,0.4690188,0.426435,0.3728976,,377000,0.3225507,0.2445102,0.3039267,,377000,0.1998935,0.3583789,0.1855327
378000,0.4333383,0.4167378,0.375302,,378000,0.2968076,0.2541302,0.2915787,,378000,0.2103247,0.3520774,0.1953062
379000,0.4425565,0.4343942,0.3968383,,379000,0.3305455,0.2342235,0.3021479,,379000,0.176297,0.3589434,0.209459
380000,0.3918927,0.4282147,0.3872552,,380000,0.2997324,0.2506664,0.2864532,,380000,0.1887914,0.3575047,0.1778913
381000,0.4249533,0.428974,0.3681929,,381000,0.3264312,0.243464,0.2987893,,381000,0.1985488,0.3785031,0.1841177
382000,0.4049592,0.4370301,0.3925032,,382000,0.3347867,0.2533235,0.3059842,,382000,0.1762487,0.3863,0.1934755
383000,0.4143352,0.4338765,0.3806004,,383000,0.3156691,0.2531297,0.2896497,,383000,0.1740205,0.4028028,0.1887722
384000,0.4195578,0.4220925,0.3811823,,384000,0.3173647,0.2543841,0.2761792,,384000,0.2024674,0.3912714,0.1881614
385000,0.4479884,0.4388175,0.3642573,,385000,0.3117099,0.2475315,0.2987402,,385000,0.1923325,0.4014339,0.1964485
386000,0.4185557,0.4373963,0.3825985,,386000,0.3242474,0.244394,0.2815146,,386000,0.1851107,0.3908879,0.2045464
387000,0.4252222,0.4272861,0.3786166,,387000,0.3180089,0.2650229,0.2890016,,387000,0.1791836,0.3905011,0.1917958
388000,0.4206787,0.4162087,0.3837664,,388000,0.3270312,0.2609373,0.2951959,,388000,0.1761392,0.3776422,0.1942039
389000,0.4474824,0.4412963,0.369415,,389000,0.3220336,0.251585,0.3061574,,389000,0.178821,0.3829114,0.207691
390000,0.4229138,0.4201164,0.3573556,,390000,0.344869,0.273268,0.2875572,,390000,0.2021439,0.386751,0.1978291
391000,0.4355461,0.4254275,0.3926976,,391000,0.34271,0.2629494,0.2953773,,391000,0.1910152,0.3846999,0.219648
392000,0.4089885,0.4337182,0.415499,,392000,0.322956,0.2589378,0.3077121,,392000,0.175134,0.3897375,0.2069211
393000,0.4210536,0.4265793,0.4016547,,393000,0.356241,0.2548092,0.3025341,,393000,0.1889815,0.402737,0.2257461
394000,0.4043733,0.4331034,0.4117261,,394000,0.3173109,0.2646145,0.3069061,,394000,0.1880448,0.407618,0.2206309
395000,0.4352147,0.4409551,0.393298,,395000,0.3017745,0.2391499,0.3005,,395000,0.1746968,0.3943019,0.2464859
396000,0.4242902,0.4344221,0.4101841,,396000,0.3084823,0.2447688,0.2987035,,396000,0.1824033,0.3917927,0.2262626
397000,0.4288042,0.4377995,0.4103713,,397000,0.2784434,0.2528251,0.2956587,,397000,0.1815151,0.3917329,0.1839024
398000,0.4385633,0.4312453,0.4073425,,398000,0.3446322,0.2516167,0.3134743,,398000,0.1959402,0.4066983,0.2052717
399000,0.4366218,0.4220718,0.3959542,,399000,0.3293556,0.2592594,0.3069016,,399000,0.1947352,0.4065842,0.2153401
400000,0.4306604,0.4368558,0.3921234,,400000,0.3094001,0.2611785,0.3001404,,400000,0.1996165,0.4119897,0.2239054
401000,0.4287988,0.4199707,0.4106627,,401000,0.3076563,0.2483205,0.3000869,,401000,0.1938949,0.3928961,0.2129937
402000,0.4176216,0.4407861,0.4395192,,402000,0.3280848,0.2666333,0.3218464,,402000,0.1893754,0.3796284,0.2099069
403000,0.4265681,0.4396304,0.4278963,,403000,0.3138687,0.2441724,0.3041257,,403000,0.1908026,0.3932256,0.2202932
404000,0.4273327,0.4581415,0.4567873,,404000,0.3003445,0.2540606,0.3026738,,404000,0.1888971,0.373616,0.2411518
405000,0.4157781,0.4485645,0.4205064,,405000,0.3012517,0.2602088,0.3072448,,405000,0.1988948,0.3622651,0.2299002
406000,0.3986121,0.4323359,0.4142515,,406000,0.2930244,0.24433,0.3068494,,406000,0.1854766,0.3756571,0.22132
407000,0.4095524,0.4411261,0.4182469,,407000,0.2972594,0.2496897,0.3079877,,407000,0.1805286,0.3769488,0.2360466
408000,0.4047091,0.4209789,0.4344501,,408000,0.3105944,0.2517726,0.3058007,,408000,0.189795,0.3873575,0.2157455
409000,0.4223999,0.4274067,0.412883,,409000,0.3267054,0.2496787,0.3149004,,409000,0.1860914,0.3771095,0.2138343
410000,0.4404889,0.4256153,0.4188163,,410000,0.3357407,0.2488523,0.3068637,,410000,0.186443,0.3798636,0.2158219
411000,0.4425315,0.4401544,0.4363133,,411000,0.3511193,0.2606797,0.3043888,,411000,0.1901661,0.3889315,0.2129247
412000,0.4333093,0.4502933,0.4153326,,412000,0.3480505,0.2584353,0.294006,,412000,0.1773465,0.3904586,0.222616
413000,0.4492025,0.4305723,0.4184055,,413000,0.3523563,0.2668597,0.2987095,,413000,0.1746502,0.3953771,0.2311731
414000,0.4283061,0.4278925,0.4408907,,414000,0.3766879,0.250925,0.3005914,,414000,0.1806745,0.390877,0.2213817
415000,0.4478875,0.4287137,0.4252008,,415000,0.3645954,0.264745,0.2912043,,415000,0.1891951,0.3927015,0.2077753
416000,0.4389734,0.4579318,0.4326823,,416000,0.3489853,0.2555161,0.3008007,,416000,0.1893386,0.3843605,0.2002504
417000,0.4338855,0.4280952,0.3913848,,417000,0.3604989,0.2644589,0.2972033,,417000,0.1849249,0.4032957,0.1941885
418000,0.4428976,0.4298384,0.3757322,,418000,0.3539774,0.2642044,0.3210285,,418000,0.1988682,0.3733226,0.2024678
419000,0.4335947,0.4263815,0.3998684,,419000,0.3624854,0.2738865,0.3125079,,419000,0.1972046,0.3747527,0.2084845
420000,0.4345419,0.4473755,0.4291776,,420000,0.3382386,0.2530465,0.3077445,,420000,0.2001387,0.3744325,0.2120665
421000,0.4415548,0.4221033,0.429747,,421000,0.3421277,0.2661664,0.3045246,,421000,0.1827447,0.3865758,0.1967237
422000,0.4360234,0.4404473,0.396543,,422000,0.3194268,0.2743765,0.3136415,,422000,0.1835627,0.3715708,0.2066211
423000,0.431607,0.4522888,0.4476511,,423000,0.2905527,0.2643148,0.2987135,,423000,0.1917454,0.3802139,0.2030382
424000,0.4174828,0.4242659,0.4480065,,424000,0.2955113,0.2672511,0.3090351,,424000,0.1808403,0.4126879,0.2084932
