proLC3B,ProLC3B_S1,ProLC3B_S2,ProLC3B_S3,,LC3B II,LC3BII_S1,LC3BII_S2,LC3BII_S3,,LC3BII_p62,LC3BII_p62_S1,LC3BII_p62_S2,LC3BII_p62_S3
48000,0.4503614,0.346393,0.3489729,,48000,0.246721,0.2569079,0.2912418,,48000,0.2120405,0.2470448,0.2107077
49000,0.4495144,0.348763,0.3267028,,49000,0.2444351,0.2333969,0.2962047,,49000,0.1889815,0.2803576,0.1939644
50000,0.4334611,0.3565542,0.3478161,,50000,0.2548006,0.2399636,0.2977531,,50000,0.2085173,0.2291574,0.1973415
51000,0.4672786,0.3975355,0.3492984,,51000,0.2788379,0.270591,0.2848806,,51000,0.2147401,0.2832257,0.199016
52000,0.3932745,0.3685184,0.3790348,,52000,0.2517975,0.2561712,0.2855169,,52000,0.2172052,0.2269102,0.2182819
53000,0.3973231,0.3606333,0.3235435,,53000,0.2523504,0.2602091,0.288551,,53000,0.197089,0.2243095,0.2076731
54000,0.4057616,0.3600637,0.3056266,,54000,0.261562,0.258765,0.2322907,,54000,0.2309084,0.2215106,0.2100774
55000,0.4430505,0.3485796,0.3334125,,55000,0.23951,0.2538782,0.255086,,55000,0.209041,0.2202692,0.2195182
56000,0.4624199,0.3776019,0.3190065,,56000,0.2335179,0.2711088,0.2933775,,56000,0.2004436,0.1959136,0.2155868
57000,0.4492643,0.3494112,0.3265548,,57000,0.229857,0.2548319,0.3003125,,57000,0.1922393,0.2540855,0.1869176
58000,0.4271627,0.3952117,0.3077887,,58000,0.2113051,0.2726252,0.3086797,,58000,0.1999261,0.2533142,0.2034058
59000,0.4363092,0.3721902,0.3425592,,59000,0.2254801,0.27203,0.3275205,,59000,0.2123182,0.2027995,0.2068847
60000,0.4353922,0.3729932,0.3456118,,60000,0.2165494,0.2612586,0.3177104,,60000,0.215195,0.209418,0.2215146
61000,0.430292,0.364443,0.3936802,,61000,0.2450159,0.2533339,0.302098,,61000,0.1948202,0.2275323,0.2243084
62000,0.4339492,0.3456962,0.3368487,,62000,0.2165471,0.2260881,0.3010413,,62000,0.2110585,0.2149307,0.2292254
63000,0.4449857,0.3790845,0.364124,,63000,0.2620028,0.2783178,0.3211254,,63000,0.2089176,0.2189615,0.21415
64000,0.4446987,0.3607627,0.3500363,,64000,0.2779222,0.243815,0.3303326,,64000,0.2015402,0.2190149,0.2270672
65000,0.4476682,0.3782574,0.3851338,,65000,0.233991,0.2574272,0.3047432,,65000,0.1975914,0.2213466,0.2243201
66000,0.4388957,0.3701479,0.382626,,66000,0.2789371,0.2448798,0.2970729,,66000,0.1951661,0.2117155,0.2399359
67000,0.4313343,0.3773669,0.3663236,,67000,0.2896603,0.255511,0.312171,,67000,0.2114172,0.2154279,0.2173233
68000,0.4381123,0.4007112,0.3727612,,68000,0.2776007,0.2376951,0.3056662,,68000,0.2123507,0.1885419,0.2176419
69000,0.4298547,0.3991529,0.3771151,,69000,0.2915727,0.2559009,0.3022813,,69000,0.1986299,0.1922963,0.2316047
70000,0.4370829,0.4317141,0.3711373,,70000,0.2855196,0.2550884,0.2881996,,70000,0.2050542,0.2303938,0.2232081
71000,0.4184726,0.4235971,0.366136,,71000,0.279621,0.2607368,0.2925563,,71000,0.2049372,0.1982812,0.2197239
72000,0.4211788,0.4235545,0.3799103,,72000,0.2836569,0.2290166,0.2897687,,72000,0.2048571,0.197971,0.2066474
73000,0.4117571,0.4844935,0.3801805,,73000,0.2838493,0.2619092,0.31826,,73000,0.2007292,0.200171,0.2308215
74000,0.4218141,0.4529743,0.3802614,,74000,0.242189,0.2437139,0.3087047,,74000,0.2055807,0.2419391,0.2412242
75000,0.3996179,0.3899401,0.4067322,,75000,0.2283901,0.264023,0.3333213,,75000,0.194876,0.2473129,0.2297114
76000,0.4151084,0.408981,0.3991491,,76000,0.2415204,0.254867,0.3252921,,76000,0.1934943,0.2420997,0.2159271
77000,0.4128887,0.4220272,0.3668565,,77000,0.2351141,0.2670425,0.294578,,77000,0.2060058,0.2085481,0.2210366
78000,0.4169804,0.3901489,0.3859121,,78000,0.2624162,0.2686886,0.3144036,,78000,0.1989651,0.2389379,0.2431112
79000,0.4259187,0.3783611,0.3884369,,79000,0.2522888,0.2744257,0.3229044,,79000,0.2141834,0.2191986,0.2584519
80000,0.4211295,0.3998362,0.391984,,80000,0.2328555,0.2314463,0.3236199,,80000,0.1992592,0.2328485,0.2428951
81000,0.4235747,0.4121499,0.3787706,,81000,0.2148983,0.2404458,0.3136676,,81000,0.2128635,0.2666853,0.2236104
82000,0.438081,0.3880337,0.3677345,,82000,0.2198783,0.2486563,0.314173,,82000,0.2331065,0.2962345,0.2195572
83000,0.4359856,0.361909,0.3632237,,83000,0.2138653,0.2528619,0.3166952,,83000,0.2319702,0.2916166,0.2109836
84000,0.4192568,0.3744667,0.3630466,,84000,0.2083509,0.2508304,0.3218119,,84000,0.2219452,0.2868361,0.2139663
85000,0.4216452,0.3623546,0.3684464,,85000,0.2335612,0.2578957,0.3398628,,85000,0.2078094,0.2856993,0.2102498
86000,0.4291695,0.4021757,0.365891,,86000,0.2206583,0.2462526,0.319523,,86000,0.2012282,0.2866963,0.208777
87000,0.4452271,0.3863192,0.3886106,,87000,0.2071341,0.238934,0.3002923,,87000,0.2161853,0.2962227,0.2143558
88000,0.4446987,0.3731439,0.3742547,,88000,0.2050643,0.2472895,0.3235588,,88000,0.2163386,0.3060556,0.2094722
89000,0.4338666,0.369539,0.3900627,,89000,0.2073551,0.267785,0.3310977,,89000,0.1922911,0.3005676,0.2256791
90000,0.4390648,0.3754565,0.3843828,,90000,0.2070205,0.2454806,0.322531,,90000,0.1917824,0.2795627,0.2161517
91000,0.3791706,0.3676479,0.3951634,,91000,0.2266536,0.2409182,0.3402256,,91000,0.191063,0.2860708,0.2119144
92000,0.4051889,0.3620421,0.3939817,,92000,0.2132285,0.2468802,0.3197837,,92000,0.1870877,0.2662248,0.2219714
93000,0.3906463,0.3575225,0.39237,,93000,0.2410056,0.2435712,0.3258614,,93000,0.1960071,0.2487386,0.2276891
94000,0.413622,0.3790415,0.3751422,,94000,0.2303855,0.2565044,0.3208325,,94000,0.2103634,0.2290314,0.2266068
95000,0.3747225,0.3722545,0.3915444,,95000,0.2830077,0.2523813,0.3099705,,95000,0.2042206,0.2789386,0.2026455
96000,0.3953444,0.3849575,0.3855695,,96000,0.2483026,0.2543307,0.3106773,,96000,0.2024741,0.2720455,0.2162523
97000,0.414756,0.3766534,0.3767747,,97000,0.2989758,0.2667311,0.3063102,,97000,0.205546,0.2858773,0.230619
98000,0.3865057,0.3748023,0.3707497,,98000,0.3179852,0.2610822,0.3034057,,98000,0.1966956,0.2466247,0.2073942
99000,0.3622557,0.3820847,0.3540094,,99000,0.3338966,0.2378429,0.3148569,,99000,0.2020985,0.2672488,0.223178
100000,0.3908595,0.3783326,0.3926098,,100000,0.3419829,0.2526731,0.2944344,,100000,0.1912867,0.2648268,0.2231339
101000,0.3968998,0.3905618,0.3886408,,101000,0.2840985,0.2741193,0.2881976,,101000,0.1653619,0.2235617,0.2070759
102000,0.3860475,0.3771419,0.3845331,,102000,0.2347659,0.2630284,0.2995054,,102000,0.1663764,0.2362231,0.2114895
103000,0.3878001,0.3692794,0.392942,,103000,0.240772,0.2764877,0.2873698,,103000,0.1964962,0.2402409,0.2501367
104000,0.3872173,0.3748011,0.3819902,,104000,0.249183,0.3052602,0.3031079,,104000,0.1793279,0.2595094,0.2358905
105000,0.3875159,0.3436736,0.3322497,,105000,0.2557326,0.3019323,0.2861903,,105000,0.1934364,0.2368053,0.2160594
106000,0.3968066,0.3503595,0.3875099,,106000,0.2435413,0.3016145,0.2908086,,106000,0.2035212,0.2165654,0.221481
107000,0.3864824,0.3624277,0.4044958,,107000,0.2296074,0.2865818,0.309388,,107000,0.1969323,0.2370906,0.1969368
108000,0.4339691,0.3799876,0.381037,,108000,0.2452704,0.2805313,0.3028764,,108000,0.1711996,0.257715,0.2069173
109000,0.4161742,0.3372657,0.389866,,109000,0.2479899,0.2756548,0.3034398,,109000,0.1773108,0.2357589,0.2329042
110000,0.4121366,0.3652512,0.3634353,,110000,0.2174889,0.2664764,0.2858998,,110000,0.1708384,0.2451157,0.2331735
111000,0.3933378,0.3789268,0.3719218,,111000,0.2435485,0.2684127,0.2971586,,111000,0.1929273,0.2560658,0.2150278
112000,0.4058457,0.3990256,0.3729489,,112000,0.2181624,0.2475349,0.2931284,,112000,0.1912981,0.2566833,0.2370215
113000,0.4206297,0.3907154,0.3695673,,113000,0.2366329,0.25923,0.3052497,,113000,0.1643244,0.1927504,0.2250762
114000,0.4150924,0.3561837,0.3581682,,114000,0.2378609,0.2709736,0.3211101,,114000,0.1798316,0.2011858,0.2223041
115000,0.4053511,0.3619883,0.3821948,,115000,0.2188917,0.277008,0.3047274,,115000,0.1639618,0.2216845,0.2105413
116000,0.4128026,0.3938393,0.3703997,,116000,0.2612109,0.2731085,0.3139044,,116000,0.1737203,0.2232942,0.213773
117000,0.3956885,0.39983,0.3832397,,117000,0.2278174,0.2595152,0.3244675,,117000,0.1827056,0.2924356,0.2121061
118000,0.3955292,0.3873499,0.3753188,,118000,0.2681213,0.2621452,0.2928187,,118000,0.1714745,0.316613,0.192789
119000,0.379898,0.3718444,0.3604105,,119000,0.2478615,0.2480588,0.2758051,,119000,0.1589966,0.3366427,0.1977218
120000,0.3873266,0.3871313,0.3612804,,120000,0.2740038,0.2376936,0.2869189,,120000,0.1568692,0.3300489,0.2098102
121000,0.389299,0.3651727,0.3643236,,121000,0.2818347,0.2584529,0.2895809,,121000,0.1595737,0.3887834,0.2128015
122000,0.3756599,0.3636586,0.3816763,,122000,0.2640902,0.2437925,0.2807345,,122000,0.1622749,0.3756582,0.2271012
123000,0.3842049,0.3694049,0.3825785,,123000,0.2595963,0.2452192,0.2832357,,123000,0.1623667,0.3735796,0.2335807
