,FRAME        , VOLUME (A^3) , SURF. A. (A^2),Time
134,134,54.25,50.375,0.1330000000000001
135,135,14.375,15.125,0.1340000000000001
136,136,67.625,56.375,0.1350000000000001
137,137,17.25,27.125,0.1360000000000001
138,138,20.125,21.75,0.1370000000000001
139,139,15.75,24.125,0.1380000000000001
140,140,43.875,30.625,0.1390000000000001
141,141,22.625,23.0,0.1400000000000001
142,142,24.25,31.75,0.1410000000000001
143,143,13.5,19.625,0.1420000000000001
144,144,24.625,30.75,0.1430000000000001
145,145,9.875,14.5,0.1440000000000001
146,146,24.625,30.375,0.1450000000000001
147,147,35.0,36.375,0.1460000000000001
148,148,31.125,44.625,0.1470000000000001
149,149,34.125,39.875,0.1480000000000001
150,150,19.375,20.0,0.1490000000000001
151,151,27.75,36.25,0.1500000000000001
152,152,10.25,21.25,0.1510000000000001
153,153,28.125,24.875,0.1520000000000001
154,154,6.5,15.875,0.1530000000000001
155,155,20.875,35.0,0.1540000000000001
156,156,18.875,27.625,0.1550000000000001
157,157,48.125,39.0,0.1560000000000001
158,158,50.625,33.375,0.1570000000000001
159,159,47.625,32.5,0.1580000000000001
160,160,65.25,52.875,0.1590000000000001
161,161,50.375,36.625,0.16000000000000011
162,162,37.25,28.625,0.16100000000000012
163,163,37.0,32.375,0.16200000000000012
164,164,51.0,36.0,0.16300000000000012
165,165,23.625,24.625,0.16400000000000012
166,166,37.125,30.75,0.16500000000000012
167,167,35.125,37.125,0.16600000000000012
168,168,53.25,35.375,0.16700000000000012
169,169,37.625,31.0,0.16800000000000012
170,170,56.875,43.75,0.16900000000000012
171,171,31.5,31.5,0.17000000000000012
172,172,73.375,53.125,0.17100000000000012
173,173,42.75,37.875,0.17200000000000013
174,174,68.25,42.5,0.17300000000000013
175,175,45.375,41.0,0.17400000000000013
176,176,23.25,33.25,0.17500000000000013
177,177,28.375,32.75,0.17600000000000013
178,178,65.5,43.0,0.17700000000000013
179,179,51.125,49.0,0.17800000000000013
180,180,38.875,33.625,0.17900000000000013
181,181,36.25,36.0,0.18000000000000013
182,182,44.125,31.5,0.18100000000000013
183,183,52.875,43.25,0.18200000000000013
184,184,46.5,32.5,0.18300000000000013
185,185,52.75,47.625,0.18400000000000014
186,186,56.0,38.625,0.18500000000000014
187,187,21.875,40.25,0.18600000000000014
188,188,50.375,42.375,0.18700000000000014
189,189,21.625,42.0,0.18800000000000014
190,190,47.5,53.625,0.18900000000000014
191,191,40.125,38.375,0.19000000000000014
