,FRAME        , VOLUME (A^3) , SURF. A. (A^2),Time
267,267,80.625,53.75,0.013299999999999975
269,269,80.875,45.5,0.013399999999999974
271,271,79.0,43.75,0.013499999999999974
273,273,90.875,49.625,0.013599999999999973
275,275,84.75,51.375,0.013699999999999973
277,277,94.625,46.75,0.013799999999999972
279,279,66.375,40.25,0.013899999999999971
281,281,90.25,52.875,0.01399999999999997
283,283,81.0,43.75,0.01409999999999997
285,285,90.125,49.5,0.01419999999999997
287,287,97.25,60.375,0.014299999999999969
289,289,98.25,55.0,0.014399999999999968
291,291,77.25,41.75,0.014499999999999968
293,293,63.375,39.875,0.014599999999999967
295,295,38.75,31.875,0.014699999999999967
297,297,116.5,63.75,0.014799999999999966
299,299,76.875,39.375,0.014899999999999965
301,301,89.5,44.25,0.014999999999999965
303,303,76.25,44.375,0.015099999999999964
305,305,76.25,41.0,0.015199999999999964
307,307,75.0,45.625,0.015299999999999963
309,309,67.75,40.875,0.015399999999999962
311,311,74.375,51.625,0.015499999999999962
313,313,77.375,40.5,0.015599999999999961
315,315,65.0,36.25,0.01569999999999996
317,317,87.5,43.75,0.01579999999999996
319,319,64.0,35.0,0.01589999999999996
321,321,84.125,46.75,0.01599999999999996
323,323,81.875,39.625,0.016099999999999958
325,325,79.375,40.875,0.016199999999999957
327,327,59.375,40.125,0.016299999999999957
329,329,77.25,46.75,0.016399999999999956
331,331,81.875,43.0,0.016499999999999956
333,333,79.625,42.5,0.016599999999999955
335,335,67.75,43.5,0.016699999999999954
337,337,67.0,40.875,0.016799999999999954
339,339,71.75,47.5,0.016899999999999953
341,341,58.0,38.875,0.016999999999999953
343,343,72.625,47.125,0.017099999999999952
345,345,78.125,53.75,0.01719999999999995
347,347,88.25,49.375,0.01729999999999995
349,349,90.625,49.0,0.01739999999999995
351,351,82.0,49.625,0.01749999999999995
353,353,81.75,47.5,0.01759999999999995
355,355,60.5,44.5,0.01769999999999995
357,357,76.125,44.875,0.017799999999999948
359,359,86.625,52.0,0.017899999999999947
361,361,80.375,47.75,0.017999999999999947
363,363,87.75,46.75,0.018099999999999946
365,365,67.125,39.875,0.018199999999999945
367,367,81.875,40.0,0.018299999999999945
369,369,86.75,44.0,0.018399999999999944
371,371,102.625,43.25,0.018499999999999944
373,373,108.375,53.25,0.018599999999999943
375,375,99.5,43.75,0.018699999999999942
377,377,124.5,50.125,0.018799999999999942
379,379,101.5,50.875,0.01889999999999994
381,381,92.125,43.875,0.01899999999999994
383,383,107.875,56.375,0.01909999999999994
385,385,70.75,37.875,0.01919999999999994
387,387,76.5,39.875,0.01929999999999994
389,389,105.625,51.875,0.019399999999999938
391,391,81.5,44.75,0.019499999999999938
393,393,75.0,48.625,0.019599999999999937
395,395,97.875,53.375,0.019699999999999936
397,397,66.375,37.875,0.019799999999999936
399,399,76.5,44.75,0.019899999999999935
401,401,71.5,47.25,0.019999999999999934
403,403,87.125,51.125,0.020099999999999934
405,405,83.125,46.625,0.020199999999999933
407,407,102.875,54.125,0.020299999999999933
409,409,65.375,37.75,0.020399999999999932
411,411,82.625,46.375,0.02049999999999993
413,413,64.625,42.25,0.02059999999999993
415,415,55.125,36.125,0.02069999999999993
417,417,76.375,46.375,0.02079999999999993
419,419,73.75,39.0,0.02089999999999993
421,421,67.375,45.25,0.02099999999999993
423,423,74.875,43.125,0.021099999999999928
425,425,90.375,45.25,0.021199999999999927
427,427,76.625,39.5,0.021299999999999927
429,429,76.25,42.125,0.021399999999999926
431,431,86.75,44.125,0.021499999999999925
433,433,82.0,44.125,0.021599999999999925
435,435,77.5,43.125,0.021699999999999924
437,437,95.0,49.125,0.021799999999999924
439,439,82.125,44.125,0.021899999999999923
441,441,81.5,44.5,0.021999999999999922
443,443,77.125,43.5,0.022099999999999922
445,445,68.625,37.75,0.02219999999999992
447,447,77.25,46.5,0.02229999999999992
449,449,78.875,49.0,0.02239999999999992
451,451,63.5,40.25,0.02249999999999992
453,453,66.0,37.625,0.02259999999999992
455,455,68.25,41.375,0.022699999999999918
457,457,80.5,48.375,0.022799999999999918
459,459,77.875,46.0,0.022899999999999917
461,461,76.875,42.25,0.022999999999999916
463,463,74.125,45.125,0.023099999999999916
465,465,67.375,38.625,0.023199999999999915
467,467,77.5,44.375,0.023299999999999915
469,469,66.5,39.25,0.023399999999999914
471,471,73.875,41.0,0.023499999999999913
473,473,73.875,41.75,0.023599999999999913
475,475,65.875,41.625,0.023699999999999912
477,477,62.5,48.375,0.02379999999999991
479,479,54.875,34.5,0.02389999999999991
481,481,73.75,43.125,0.02399999999999991
483,483,83.375,42.5,0.02409999999999991
485,485,68.0,38.625,0.02419999999999991
487,487,80.0,41.5,0.02429999999999991
489,489,76.25,42.25,0.024399999999999908
491,491,86.5,46.5,0.024499999999999907
493,493,74.25,50.0,0.024599999999999907
495,495,99.0,52.75,0.024699999999999906
497,497,96.375,56.875,0.024799999999999905
499,499,103.375,56.375,0.024899999999999905
501,501,77.5,53.0,0.024999999999999904
503,503,93.5,52.875,0.025099999999999904
505,505,103.25,59.875,0.025199999999999903
507,507,69.625,40.0,0.025299999999999902
509,509,79.75,53.0,0.025399999999999902
511,511,67.75,50.25,0.0254999999999999
513,513,72.125,52.0,0.0255999999999999
515,515,81.75,52.625,0.0256999999999999
517,517,80.0,56.25,0.0257999999999999
519,519,90.0,59.375,0.0258999999999999
521,521,71.0,43.5,0.025999999999999898
523,523,94.875,53.75,0.026099999999999898
525,525,70.0,41.125,0.026199999999999897
527,527,75.25,53.375,0.026299999999999896
529,529,93.25,56.125,0.026399999999999896
531,531,75.375,55.25,0.026499999999999895
533,533,79.25,53.625,0.026599999999999895
535,535,74.5,48.5,0.026699999999999894
537,537,79.375,52.25,0.026799999999999893
539,539,82.75,56.125,0.026899999999999893
541,541,72.5,51.375,0.026999999999999892
543,543,92.0,56.5,0.02709999999999989
545,545,87.625,51.875,0.02719999999999989
547,547,78.375,53.0,0.02729999999999989
549,549,69.125,50.0,0.02739999999999989
551,551,68.0,47.5,0.02749999999999989
553,553,85.875,50.125,0.02759999999999989
555,555,87.25,48.625,0.027699999999999888
557,557,78.75,44.625,0.027799999999999887
559,559,80.375,48.125,0.027899999999999887
561,561,78.875,54.375,0.027999999999999886
563,563,92.25,57.875,0.028099999999999885
565,565,79.875,49.0,0.028199999999999885
567,567,72.25,53.25,0.028299999999999884
569,569,65.5,46.375,0.028399999999999884
571,571,85.375,52.5,0.028499999999999883
573,573,77.75,48.875,0.028599999999999882
575,575,77.5,51.5,0.028699999999999882
577,577,67.75,47.0,0.02879999999999988
579,579,70.75,49.0,0.02889999999999988
581,581,66.75,43.875,0.02899999999999988
583,583,76.625,54.25,0.02909999999999988
585,585,70.0,52.625,0.02919999999999988
587,587,83.25,53.625,0.029299999999999878
589,589,79.75,49.375,0.029399999999999878
591,591,79.5,53.125,0.029499999999999877
593,593,66.125,42.125,0.029599999999999876
595,595,78.0,51.375,0.029699999999999876
597,597,74.25,47.25,0.029799999999999875
599,599,85.5,45.5,0.029899999999999875
601,601,84.625,45.625,0.029999999999999874
603,603,65.25,41.0,0.030099999999999873
605,605,82.625,44.625,0.030199999999999873
607,607,94.875,53.75,0.030299999999999872
609,609,89.875,48.125,0.03039999999999987
611,611,65.875,40.25,0.03049999999999987
613,613,57.25,38.125,0.03059999999999987
615,615,68.75,42.5,0.03069999999999987
617,617,80.625,43.5,0.03079999999999987
619,619,72.5,40.25,0.03089999999999987
621,621,76.75,45.0,0.030999999999999868
623,623,70.75,39.75,0.031099999999999867
625,625,92.125,56.75,0.031199999999999867
627,627,75.375,53.0,0.03129999999999987
629,629,72.375,39.625,0.03139999999999987
631,631,85.625,49.5,0.031499999999999875
633,633,49.25,38.0,0.03159999999999988
635,635,68.125,47.75,0.03169999999999988
637,637,71.875,52.0,0.031799999999999884
639,639,76.375,52.625,0.03189999999999989
641,641,63.5,42.375,0.03199999999999989
643,643,74.25,50.25,0.03209999999999989
645,645,56.75,43.875,0.032199999999999895
647,647,41.625,37.625,0.0322999999999999
649,649,84.25,57.125,0.0323999999999999
651,651,77.0,45.125,0.032499999999999904
653,653,69.0,40.375,0.03259999999999991
655,655,66.75,46.75,0.03269999999999991
657,657,86.25,54.0,0.03279999999999991
659,659,77.375,45.625,0.032899999999999915
661,661,69.75,43.5,0.03299999999999992
663,663,55.875,36.25,0.03309999999999992
665,665,77.875,44.0,0.033199999999999924
667,667,68.375,42.0,0.03329999999999993
669,669,82.875,45.875,0.03339999999999993
671,671,74.0,44.625,0.03349999999999993
673,673,85.625,49.625,0.033599999999999935
675,675,72.0,41.875,0.03369999999999994
677,677,67.625,41.75,0.03379999999999994
679,679,77.125,38.0,0.033899999999999944
681,681,91.75,45.0,0.03399999999999995
683,683,60.875,38.875,0.03409999999999995
685,685,66.0,42.75,0.03419999999999995
687,687,62.75,39.0,0.034299999999999956
689,689,67.625,37.25,0.03439999999999996
691,691,74.125,48.125,0.03449999999999996
693,693,66.125,42.75,0.034599999999999964
695,695,66.125,40.25,0.03469999999999997
697,697,87.625,44.5,0.03479999999999997
699,699,74.375,38.5,0.03489999999999997
701,701,79.5,46.375,0.034999999999999976
703,703,64.125,39.5,0.03509999999999998
705,705,64.375,37.375,0.03519999999999998
707,707,80.25,42.125,0.035299999999999984
709,709,64.125,37.75,0.03539999999999999
711,711,70.0,36.5,0.03549999999999999
713,713,67.125,37.25,0.03559999999999999
715,715,71.5,42.625,0.035699999999999996
