,FRAME        , VOLUME (A^3) , SURF. A. (A^2),Time
267,267,98.25,63.875,0.013299999999999975
269,269,59.875,49.75,0.013399999999999974
271,271,80.75,60.25,0.013499999999999974
273,273,68.0,56.0,0.013599999999999973
275,275,35.5,41.5,0.013699999999999973
277,277,104.625,75.25,0.013799999999999972
279,279,76.375,56.125,0.013899999999999971
281,281,61.375,60.75,0.01399999999999997
283,283,117.25,61.375,0.01409999999999997
285,285,124.25,57.25,0.01419999999999997
287,287,113.125,53.75,0.014299999999999969
289,289,106.0,54.375,0.014399999999999968
291,291,87.0,60.75,0.014499999999999968
293,293,65.875,56.875,0.014599999999999967
295,295,60.25,53.375,0.014699999999999967
297,297,46.25,40.75,0.014799999999999966
299,299,72.875,42.75,0.014899999999999965
301,301,69.125,38.25,0.014999999999999965
303,303,96.875,50.5,0.015099999999999964
305,305,108.375,62.125,0.015199999999999964
307,307,148.375,75.25,0.015299999999999963
309,309,122.0,53.375,0.015399999999999962
311,311,146.25,68.625,0.015499999999999962
313,313,138.0,49.25,0.015599999999999961
315,315,118.875,54.5,0.01569999999999996
317,317,106.75,49.5,0.01579999999999996
319,319,155.0,63.875,0.01589999999999996
321,321,154.625,68.75,0.01599999999999996
323,323,138.0,69.0,0.016099999999999958
325,325,128.25,66.0,0.016199999999999957
327,327,118.5,61.0,0.016299999999999957
329,329,106.25,49.375,0.016399999999999956
331,331,152.25,55.25,0.016499999999999956
333,333,155.875,70.875,0.016599999999999955
335,335,140.75,71.75,0.016699999999999954
337,337,123.375,58.875,0.016799999999999954
339,339,132.75,69.75,0.016899999999999953
341,341,140.75,58.5,0.016999999999999953
343,343,123.75,55.875,0.017099999999999952
345,345,172.25,66.0,0.01719999999999995
347,347,117.75,62.875,0.01729999999999995
349,349,159.125,78.125,0.01739999999999995
351,351,108.375,55.125,0.01749999999999995
353,353,116.375,51.0,0.01759999999999995
355,355,85.5,61.5,0.01769999999999995
357,357,117.625,56.0,0.017799999999999948
359,359,118.125,58.5,0.017899999999999947
361,361,126.75,58.625,0.017999999999999947
363,363,121.625,51.25,0.018099999999999946
365,365,120.75,55.25,0.018199999999999945
367,367,129.5,57.75,0.018299999999999945
369,369,102.875,52.375,0.018399999999999944
371,371,130.25,53.375,0.018499999999999944
373,373,129.0,51.25,0.018599999999999943
375,375,144.25,63.625,0.018699999999999942
377,377,154.75,57.5,0.018799999999999942
379,379,169.5,73.375,0.01889999999999994
381,381,156.0,72.625,0.01899999999999994
383,383,133.125,55.125,0.01909999999999994
385,385,176.0,67.125,0.01919999999999994
387,387,99.25,46.0,0.01929999999999994
389,389,119.125,50.375,0.019399999999999938
391,391,124.625,67.125,0.019499999999999938
393,393,179.0,76.75,0.019599999999999937
395,395,164.25,65.75,0.019699999999999936
397,397,174.625,72.75,0.019799999999999936
399,399,174.0,68.75,0.019899999999999935
401,401,143.25,75.625,0.019999999999999934
403,403,98.625,60.25,0.020099999999999934
405,405,163.125,85.5,0.020199999999999933
407,407,133.75,62.875,0.020299999999999933
409,409,125.625,60.25,0.020399999999999932
411,411,93.5,47.125,0.02049999999999993
413,413,82.0,62.25,0.02059999999999993
415,415,66.625,47.0,0.02069999999999993
417,417,116.0,54.375,0.02079999999999993
419,419,106.0,52.125,0.02089999999999993
421,421,143.0,58.375,0.02099999999999993
423,423,124.0,50.0,0.021099999999999928
425,425,118.625,58.375,0.021199999999999927
427,427,119.875,58.875,0.021299999999999927
429,429,107.0,57.625,0.021399999999999926
431,431,125.5,56.375,0.021499999999999925
433,433,138.625,55.625,0.021599999999999925
435,435,110.5,57.25,0.021699999999999924
437,437,99.125,54.125,0.021799999999999924
439,439,126.5,47.25,0.021899999999999923
441,441,33.875,33.375,0.021999999999999922
443,443,79.75,55.625,0.022099999999999922
445,445,96.375,53.5,0.02219999999999992
447,447,44.375,36.25,0.02229999999999992
449,449,164.875,79.125,0.02239999999999992
451,451,58.125,48.0,0.02249999999999992
453,453,111.0,60.125,0.02259999999999992
455,455,111.0,64.625,0.022699999999999918
457,457,77.125,65.0,0.022799999999999918
459,459,110.0,72.5,0.022899999999999917
461,461,147.0,71.625,0.022999999999999916
463,463,237.125,88.375,0.023099999999999916
465,465,190.0,72.5,0.023199999999999915
467,467,59.125,43.875,0.023299999999999915
469,469,90.25,65.375,0.023399999999999914
471,471,47.125,39.5,0.023499999999999913
473,473,42.875,32.75,0.023599999999999913
475,475,67.5,59.875,0.023699999999999912
477,477,156.375,68.25,0.02379999999999991
479,479,113.375,63.125,0.02389999999999991
481,481,120.25,60.125,0.02399999999999991
483,483,114.75,60.0,0.02409999999999991
485,485,178.25,74.375,0.02419999999999991
487,487,79.375,61.5,0.02429999999999991
489,489,76.0,45.0,0.024399999999999908
491,491,93.0,58.0,0.024499999999999907
493,493,58.125,57.0,0.024599999999999907
495,495,37.125,43.375,0.024699999999999906
497,497,50.75,48.625,0.024799999999999905
499,499,85.125,52.25,0.024899999999999905
501,501,151.125,61.625,0.024999999999999904
503,503,125.625,60.75,0.025099999999999904
505,505,99.25,58.375,0.025199999999999903
507,507,87.625,57.5,0.025299999999999902
509,509,121.875,65.5,0.025399999999999902
511,511,127.75,70.875,0.0254999999999999
513,513,68.875,51.125,0.0255999999999999
515,515,62.375,64.625,0.0256999999999999
517,517,57.875,54.0,0.0257999999999999
519,519,99.75,68.0,0.0258999999999999
521,521,91.875,60.875,0.025999999999999898
523,523,61.5,50.75,0.026099999999999898
525,525,100.5,57.875,0.026199999999999897
527,527,60.25,58.5,0.026299999999999896
529,529,66.0,55.625,0.026399999999999896
531,531,105.375,68.875,0.026499999999999895
533,533,138.5,65.75,0.026599999999999895
535,535,178.625,74.25,0.026699999999999894
537,537,103.375,58.0,0.026799999999999893
539,539,111.5,61.125,0.026899999999999893
541,541,114.125,66.375,0.026999999999999892
543,543,90.875,53.25,0.02709999999999989
545,545,119.625,70.125,0.02719999999999989
547,547,156.75,68.0,0.02729999999999989
549,549,120.25,62.625,0.02739999999999989
551,551,83.375,52.875,0.02749999999999989
553,553,127.375,57.25,0.02759999999999989
555,555,126.25,66.75,0.027699999999999888
557,557,54.75,42.125,0.027799999999999887
559,559,102.5,46.25,0.027899999999999887
561,561,101.25,52.125,0.027999999999999886
563,563,92.125,48.125,0.028099999999999885
565,565,66.125,48.0,0.028199999999999885
567,567,52.125,43.375,0.028299999999999884
569,569,73.875,46.125,0.028399999999999884
571,571,97.25,58.25,0.028499999999999883
573,573,104.25,69.75,0.028599999999999882
575,575,81.625,55.875,0.028699999999999882
577,577,80.125,59.125,0.02879999999999988
579,579,95.375,69.375,0.02889999999999988
581,581,121.0,69.625,0.02899999999999988
583,583,103.875,66.25,0.02909999999999988
585,585,96.5,51.5,0.02919999999999988
587,587,128.25,59.5,0.029299999999999878
589,589,76.125,58.75,0.029399999999999878
591,591,55.625,48.5,0.029499999999999877
593,593,57.375,49.5,0.029599999999999876
595,595,39.25,39.875,0.029699999999999876
597,597,150.125,80.875,0.029799999999999875
599,599,97.625,57.875,0.029899999999999875
601,601,113.125,59.75,0.029999999999999874
603,603,60.5,49.875,0.030099999999999873
605,605,42.875,38.25,0.030199999999999873
607,607,56.5,43.625,0.030299999999999872
609,609,89.5,44.625,0.03039999999999987
611,611,63.75,64.0,0.03049999999999987
613,613,29.875,33.375,0.03059999999999987
615,615,45.125,49.375,0.03069999999999987
617,617,53.25,41.0,0.03079999999999987
619,619,56.5,51.875,0.03089999999999987
621,621,34.5,31.375,0.030999999999999868
623,623,37.625,42.875,0.031099999999999867
625,625,74.875,55.75,0.031199999999999867
627,627,50.125,40.375,0.03129999999999987
629,629,86.125,62.625,0.03139999999999987
631,631,74.375,58.0,0.031499999999999875
633,633,90.75,50.25,0.03159999999999988
635,635,77.25,50.25,0.03169999999999988
637,637,101.75,44.0,0.031799999999999884
639,639,86.5,48.25,0.03189999999999989
641,641,108.375,49.125,0.03199999999999989
643,643,95.875,54.5,0.03209999999999989
645,645,114.625,45.125,0.032199999999999895
647,647,79.75,40.125,0.0322999999999999
649,649,79.0,40.25,0.0323999999999999
651,651,93.125,49.5,0.032499999999999904
653,653,68.125,41.0,0.03259999999999991
655,655,82.375,44.0,0.03269999999999991
657,657,75.5,40.25,0.03279999999999991
659,659,96.875,45.25,0.032899999999999915
661,661,101.375,53.75,0.03299999999999992
663,663,89.25,50.75,0.03309999999999992
665,665,71.625,40.875,0.033199999999999924
667,667,64.25,44.625,0.03329999999999993
669,669,49.625,50.375,0.03339999999999993
671,671,43.5,43.625,0.03349999999999993
673,673,113.125,69.375,0.033599999999999935
675,675,122.0,69.25,0.03369999999999994
677,677,105.0,63.75,0.03379999999999994
679,679,102.875,77.625,0.033899999999999944
681,681,91.125,63.25,0.03399999999999995
683,683,93.75,64.75,0.03409999999999995
685,685,86.25,53.0,0.03419999999999995
687,687,129.625,71.75,0.034299999999999956
689,689,69.75,52.625,0.03439999999999996
691,691,88.125,59.5,0.03449999999999996
693,693,91.5,61.25,0.034599999999999964
695,695,119.25,69.375,0.03469999999999997
697,697,86.625,65.5,0.03479999999999997
699,699,95.75,71.75,0.03489999999999997
701,701,93.75,43.875,0.034999999999999976
703,703,94.0,58.75,0.03509999999999998
705,705,167.625,72.75,0.03519999999999998
707,707,112.5,56.0,0.035299999999999984
709,709,114.125,67.625,0.03539999999999999
711,711,155.25,78.375,0.03549999999999999
713,713,145.375,75.875,0.03559999999999999
715,715,105.0,62.0,0.035699999999999996
717,717,95.5,61.125,0.0358
719,719,119.125,71.5,0.0359
721,721,100.5,75.875,0.036000000000000004
723,723,125.0,71.75,0.03610000000000001
725,725,83.75,55.5,0.03620000000000001
727,727,71.625,54.0,0.03630000000000001
729,729,103.5,45.625,0.036400000000000016
731,731,98.125,63.0,0.03650000000000002
